iter	RMSE
216	17.87754364
217	17.87564835
218	17.85641028
219	17.84939031
220	17.8435374
221	17.83403017
222	17.82603234
223	17.81361813
224	17.80066317
225	17.78923804
226	17.78317844
227	17.76952098
228	17.76423782
229	17.75383429
230	17.74261498
231	17.737881
232	17.72618651
233	17.71363014
234	17.70311786
235	17.70201078
236	17.69267541
237	17.67898182
238	17.6684622
239	17.65129023
240	17.64311371
241	17.63056432
242	17.6180837
243	17.61711293
244	17.61637423
245	17.61123562
246	17.60320979
247	17.59546211
248	17.59424597
249	17.58854871
250	17.57863274
251	17.56643984
252	17.55185781
253	17.54109837
254	17.52664636
255	17.5188934
256	17.5180678
257	17.5137778
258	17.50314318
259	17.49302935
260	17.48792547
261	17.47925203
262	17.47284612
263	17.45854687
264	17.45688213
265	17.45362356
266	17.44730108
267	17.4369089
268	17.42177195
269	17.41602076
270	17.41154814
271	17.39770729
272	17.39373958
273	17.38453617
274	17.37592403
275	17.36614135
276	17.34868714
277	17.33395219
278	17.33288687
279	17.32837686
280	17.31190337
281	17.30952261
282	17.30326893
283	17.29542444
284	17.28666554
285	17.27126295
286	17.25889017
287	17.24804973
288	17.24357337
289	17.23819761
290	17.22922842
291	17.21995145
292	17.20004128
293	17.19692344
294	17.18466811
295	17.17806035
296	17.16980143
297	17.1662391
298	17.14935705
299	17.14453403
300	17.13340344
301	17.13050093
302	17.12651887
303	17.11587854
304	17.11411199
305	17.10361911
306	17.10291916
307	17.10138614
308	17.09662894
309	17.09039139
310	17.07940984
311	17.07284133
312	17.06806296
313	17.05949578
314	17.05928999
315	17.04785967
316	17.03815744
317	17.0327561
318	17.02873244
319	17.0282843
320	17.01318398
321	17.00893567
322	16.99769169
323	16.98993131
324	16.98226592
325	16.97213821
326	16.96285435
327	16.95434558
328	16.94768461
329	16.94605832
330	16.94056784
331	16.94028908
332	16.93456555
333	16.92468459
334	16.91448219
335	16.90624881
336	16.90250294
337	16.89469859
338	16.88753835
339	16.88226883
340	16.8737865
341	16.86410768
342	16.8566841
343	16.84817985
344	16.84392946
345	16.83243656
346	16.82659817
347	16.82238458
348	16.81634202
349	16.81464413
350	16.8035116
351	16.78155756
352	16.77162983
353	16.76255695
354	16.75386998
355	16.75049241
356	16.73791798
357	16.72493985
358	16.71775666
359	16.70524522
360	16.68397375
361	16.67371437
362	16.66656323
363	16.65566864
364	16.64538155
365	16.64432236
366	16.63459481
367	16.62923863
368	16.62072053
369	16.61746832
370	16.60399452
371	16.59764102
372	16.59172216
373	16.58375364
374	16.58136764
375	16.57995579
376	16.5621051
377	16.54670861
378	16.54034447
379	16.53831424
380	16.53052302
381	16.52622027
382	16.51805123
383	16.51536305
384	16.49826169
385	16.4942327
386	16.49218675
387	16.4845691
388	16.48040514
389	16.46944454
390	16.45687697
391	16.44770735
392	16.44321173
393	16.43669072
394	16.42391323
395	16.41662301
396	16.41322469
397	16.41062576
398	16.40368125
399	16.39988309
400	16.38762911
401	16.3796487
402	16.36882378
403	16.34911252
404	16.33831993
405	16.33606071
406	16.3262008
407	16.31518976
408	16.3109311
409	16.30757765
410	16.29213009
411	16.28685886
412	16.27807863
413	16.26924933
414	16.26438471
415	16.25272408
416	16.23368509
417	16.23301012
418	16.2314633
419	16.22410722
420	16.21053893
421	16.1994417
422	16.19432106
423	16.18996139
424	16.17749159
425	16.17375795
426	16.16597119
427	16.14021066
428	16.13093165
429	16.12616974
430	16.11976499
431	16.11174029
432	16.08860899
433	16.07518827
434	16.06926476
435	16.06548552
436	16.05521141
437	16.04709555
438	16.0388023
439	16.02402863
440	16.01815815
441	16.01684765
442	16.01661557
443	16.00912468
444	16.00260691
445	15.99942542
446	15.99407967
447	15.99396943
448	15.98768363
449	15.98187864
450	15.96990872
451	15.96280878
452	15.9455792
453	15.93863931
454	15.93744654
455	15.92171303
456	15.91717241
457	15.91419795
458	15.90850514
459	15.89530235
460	15.8910349
461	15.87463604
462	15.87256283
463	15.86478707
464	15.85559046
465	15.83935515
466	15.83533385
467	15.83167938
468	15.8218183
469	15.8203345
470	15.81691278
471	15.80959978
472	15.80506742
473	15.8029727
474	15.78998021
475	15.78244776
476	15.77221367
477	15.76998966
478	15.76128466
479	15.75620211
480	15.75085686
481	15.74643058
482	15.74118393
483	15.73720827
484	15.73246213
485	15.72764343
486	15.71506746
487	15.70502444
488	15.6969629
489	15.68339529
490	15.67614539
491	15.67089629
492	15.65705481
493	15.65148434
494	15.63712355
495	15.63053314
496	15.62184959
497	15.61277503
498	15.60594171
499	15.59873507
