iter	RMSE
0	21.49262252
1	21.41667137
2	21.3431075
3	21.26310357
4	21.17793613
5	21.10320263
6	21.03119075
7	20.95544878
8	20.89866686
9	20.85250873
10	20.80965028
11	20.75395437
12	20.71472612
13	20.66322423
14	20.61520603
15	20.56377983
16	20.52455662
17	20.49268014
18	20.46460124
19	20.4373034
20	20.39320425
21	20.35736428
22	20.32950763
23	20.29632157
24	20.27176446
25	20.24656211
26	20.22747594
27	20.19318489
28	20.15934995
29	20.12999319
30	20.10017259
31	20.07588723
32	20.05453072
33	20.02467948
34	19.9966476
35	19.97488947
36	19.94078295
37	19.92270629
38	19.90763095
39	19.8858689
40	19.86516484
41	19.85703538
42	19.8445893
43	19.82739483
44	19.80727291
45	19.78286109
46	19.75675816
47	19.7276064
48	19.70526113
49	19.69485852
50	19.67660652
51	19.66190405
52	19.64863046
53	19.6431014
54	19.62504123
55	19.6049401
56	19.57227392
57	19.5509223
58	19.5340916
59	19.52001074
60	19.50556362
61	19.48582048
62	19.47181415
63	19.46113526
64	19.44080712
65	19.42439663
66	19.41936054
67	19.40597648
68	19.39354961
69	19.38717615
70	19.3780626
71	19.35515565
72	19.34089785
73	19.32674477
74	19.32673718
75	19.31873428
76	19.3064734
77	19.29058133
78	19.27650473
79	19.26071409
80	19.2488603
81	19.23179326
82	19.21364135
83	19.20558779
84	19.20154956
85	19.19314995
86	19.18649994
87	19.16852504
88	19.15841325
89	19.1489338
90	19.14263295
91	19.13729944
92	19.12203573
93	19.11174113
94	19.11119845
95	19.09427213
96	19.07983175
97	19.07091886
98	19.0665062
99	19.06058501
100	19.05839383
101	19.04622883
102	19.03459088
103	19.02906132
104	19.02119667
105	19.02119663
106	19.01614556
107	19.01027053
108	19.00727604
109	19.00647664
110	19.00091022
111	18.98857401
112	18.98329544
113	18.97667035
114	18.9654157
115	18.95058013
116	18.9434852
117	18.93802254
118	18.92307785
119	18.9006648
120	18.89629624
121	18.88979765
122	18.8797827
123	18.86614725
124	18.86033214
125	18.85750058
126	18.84533942
127	18.82369543
128	18.82232452
129	18.81319407
130	18.80806856
131	18.798098
132	18.7945335
133	18.76609349
134	18.74913001
135	18.73478969
136	18.72637903
137	18.71330824
138	18.70741853
139	18.68369423
140	18.68365787
141	18.67257699
142	18.6626499
143	18.65455746
144	18.62937752
145	18.62701647
146	18.61675335
147	18.60830014
148	18.60086813
149	18.59712561
150	18.58979188
151	18.58062288
152	18.57327676
153	18.5555916
154	18.53771845
155	18.5332181
156	18.51610622
157	18.51011382
158	18.49899203
159	18.48343058
160	18.47809081
161	18.46694036
162	18.45458868
163	18.44136126
164	18.43292486
165	18.42361403
166	18.40455401
167	18.39242526
168	18.38301524
169	18.38292955
170	18.36856167
171	18.35695545
172	18.33589489
173	18.3198187
174	18.31511655
175	18.30102745
176	18.29625779
177	18.27947349
178	18.26916389
179	18.26255191
180	18.25728486
181	18.24721231
182	18.2370509
183	18.22318588
184	18.21690497
185	18.20585182
186	18.19313993
187	18.18505916
188	18.17168251
189	18.16473499
190	18.15971423
191	18.14522287
192	18.13934252
193	18.12636307
194	18.11493497
195	18.10058262
196	18.08612839
197	18.07208588
198	18.06412799
199	18.05548934
200	18.04026882
201	18.03375116
202	18.02796069
203	18.00993181
204	17.99840304
205	17.98036398
206	17.96743905
207	17.96029036
208	17.95308792
209	17.94254634
210	17.9290587
211	17.91792653
212	17.90051234
213	17.89592061
214	17.89285017
215	17.88680134
