iter	RMSE
0	21.82069016
1	21.72820524
2	21.66907988
3	21.60119751
4	21.54021652
5	21.4822872
6	21.42299768
7	21.36364394
8	21.30820695
9	21.2778684
10	21.23133308
11	21.1888704
12	21.15645929
13	21.11979288
14	21.08553842
15	21.05358861
16	21.01888409
17	20.98670501
18	20.9584544
19	20.92815696
20	20.90241662
21	20.87564815
22	20.84379781
23	20.81459955
24	20.78965793
25	20.77813507
26	20.7689616
27	20.74663737
28	20.73310332
29	20.72009112
30	20.69553772
31	20.67344167
32	20.65644043
33	20.65354901
34	20.63822896
35	20.62010971
36	20.6028931
37	20.58543629
38	20.57466871
39	20.56079825
40	20.55031128
41	20.53402966
42	20.52429158
43	20.50915932
44	20.49440899
45	20.49067564
46	20.47602464
47	20.46411778
48	20.44302989
49	20.43334295
50	20.42028735
51	20.4118511
52	20.40107861
53	20.38855989
54	20.38028931
55	20.37432416
56	20.36320959
57	20.34929281
58	20.33685756
59	20.32800966
60	20.32525339
61	20.31885904
62	20.31826541
63	20.31002596
64	20.29187306
65	20.2817157
66	20.27643934
67	20.26879312
68	20.25289775
69	20.24235926
70	20.23790114
71	20.22206934
72	20.21394751
73	20.20376263
74	20.19692612
75	20.18729665
76	20.17530522
77	20.16676572
78	20.15501407
79	20.14487108
80	20.14159391
81	20.13331571
82	20.12027509
83	20.110612
84	20.09913679
85	20.08955501
86	20.08449597
87	20.07402322
88	20.07070902
89	20.06432561
90	20.05149023
91	20.04279157
92	20.03075433
93	20.01918111
94	20.01555394
95	20.00190343
96	19.99086261
97	19.9886075
98	19.97536951
99	19.97446411
100	19.96815401
101	19.95854624
102	19.95230817
103	19.94671007
104	19.93640758
105	19.92596375
106	19.91682628
107	19.91604481
108	19.90389154
109	19.88404887
110	19.87582628
111	19.86884092
112	19.86308549
113	19.85413336
114	19.84966981
115	19.83791366
116	19.82802275
117	19.82173083
118	19.81140828
119	19.80448417
120	19.78614633
121	19.77844842
122	19.7729555
123	19.76314539
124	19.75506585
125	19.74211656
126	19.73528227
127	19.72301369
128	19.71508594
129	19.70230387
130	19.69907184
131	19.69869341
132	19.69189731
133	19.68438762
134	19.66530377
135	19.65518023
136	19.64409148
137	19.62773645
138	19.6201079
139	19.60980741
140	19.60613643
141	19.60210907
142	19.59613604
143	19.5907509
144	19.58092012
145	19.57747901
146	19.57089663
147	19.55887023
